"County FIPS","dem","rep","other"
"02008","4995","4983","342"
"02037","1868","2661","136"
"02012","1914","5467","208"
"02013","2800","8432","294"
"02014","2132","8108","216"
"02016","2636","7774","287"
"02015","2510","8227","349"
"02039","2695","2323","166"
"02040","2137","2686","177"
"02002","3468","4029","238"
"02003","5657","2829","281"
"02004","4161","4302","273"
"02006","2351","4234","239"
"02017","2645","6621","182"
"02031","3596","6419","205"
"02025","3233","3042","168"
"02018","2046","4252","113"
"02029","2684","4127","151"
"02030","3486","5500","197"
"02024","3380","4127","181"
"02020","2474","2536","128"
"02022","3337","3109","188"
"02027","3130","5159","209"
"02021","3647","4837","191"
"02023","4075","2808","199"
"02028","3642","5953","197"
"02032","5176","6867","264"
"02019","3095","4106","171"
"02026","4472","4037","186"
"02036","2264","4201","208"
"02038","2549","2056","215"
"02033","2089","6571","249"
"02035","4254","4959","290"
"02034","1920","7358","270"
"02009","2805","4141","197"
"02010","2074","3392","149"
"02011","1924","7736","206"
"02007","4283","6297","314"
"02005","3393","3426","304"
"02001","2597","4149","224"
"27077","971","1278","64"
"53000",,,
"53073","58236","40205","1898"
"53073","58236","40205","1898"
"30105","1645","2121","145"
"30029","16138","25559","2017"
"16021","1484","3078","171"
"30071","638","1423","62"
"38079","3403","1045","86"
"30053","3025","5704","498"
"38009","1387","2059","70"
"30035","3423","1451","96"
"30041","3596","2787","241"
"30005","1702","1139","83"
"30019","343","694","36"
"38067","1494","1722","91"
"27069","1492","1016","60"
"38095","621","536","40"
"38019","930","1128","72"
"53047","7613","8798","459"
"53065","8499","13132","710"
"53051","2562","3717","273"
"53019","1467","1916","118"
"30051","367","594","40"
"38023","464","630","37"
"38013","286","640","17"
"30101","737","1317","67"
"38075","505","799","42"
"27135","3097","4438","165"
"30091","953","987","66"
"16017","7840","11145","562"
"38101","10144","15061","416"
"53055","7374","2958","199"
"53055","7374","2958","199"
"53055","7374","2958","199"
"53055","7374","2958","199"
"53073","58236","40205","1898"
"53055","7374","2958","199"
"53073","58236","40205","1898"
"53055","7374","2958","199"
"27071","3649","2962","191"
"53055","7374","2958","199"
"53055","7374","2958","199"
"53055","7374","2958","199"
"53057","30053","24687","1146"
"53073","58236","40205","1898"
"53055","7374","2958","199"
"38105","2921","6291","161"
"38049","981","1374","61"
"27137","77351","38742","2721"
"53057","30053","24687","1146"
"53055","7374","2958","199"
"53055","7374","2958","199"
"53055","7374","2958","199"
"53057","30053","24687","1146"
"53055","7374","2958","199"
"53057","30053","24687","1146"
"53055","7374","2958","199"
"53055","7374","2958","199"
"30085","2564","1473","113"
"53007","13781","17605","572"
"38061","1477","1406","55"
"27089","2311","2285","143"
"38069","792","1301","46"
"38071","2314","2361","87"
"38099","2325","2415","142"
"27007","12019","9762","455"
"53055","7374","2958","199"
"53057","30053","24687","1146"
"30073","1223","1588","74"
"53057","30053","24687","1146"
"53029","22058","19426","675"
"53009","19470","18199","850"
"38005","1569","733","32"
"30015","1122","1634","105"
"26000",,,
"53061","187294","126722","6317"
"53061","187294","126722","6317"
"53029","22058","19426","675"
"30089","1970","3563","316"
"27031","2019","1240","89"
"26083","610","756","44"
"27075","4174","2636","159"
"38063","907","800","45"
"38035","16104","14520","529"
"26083","610","756","44"
"26083","610","756","44"
"26083","610","756","44"
"27119","7850","7148","336"
"27113","3394","3248","180"
"26083","610","756","44"
"26083","610","756","44"
"53009","19470","18199","850"
"26083","610","756","44"
"30083","1203","3184","129"
"53017","5848","9098","263"
"38053","933","1740","42"
"53031","13252","6330","409"
"53031","13252","6330","409"
"30099","1294","1874","104"
"26083","610","756","44"
"26083","610","756","44"
"26083","610","756","44"
"26083","610","756","44"
"53031","13252","6330","409"
"30055","1607","2822","138"
"16079","2521","2953","192"
"30047","6766","6498","649"
"53063","105786","108314","5411"
"53061","187294","126722","6317"
"27029","1877","2291","93"
"27000",,,
"16055","22120","38387","1425"
"30033","110","598","19"
"26083","610","756","44"
"27125","1120","983","88"
"53025","9601","17153","684"
"53043","2032","3803","142"
"30049","17114","14966","793"
"53035","68624","53297","2416"
"26083","610","756","44"
"27061","13460","10309","626"
"26083","610","756","44"
"26083","610","756","44"
"38055","1867","2767","102"
"38027","583","548","34"
"38103","841","1468","68"
"38083","229","555","19"
"38025","527","1080","37"
"30027","1933","4108","191"
"30021","1593","2639","200"
"53033","648230","259716","14086"
"53035","68624","53297","2416"
"30013","17664","16857","867"
"38091","614","404","14"
"38039","598","682","34"
"38097","2136","1845","60"
"53045","15050","12600","656"
"30063","36531","20743","1801"
"30077","1021","1683","110"
"30069","68","227","5"
"53037","8030","9471","367"
"38031","687","914","50"
"38057","1476","2789","132"
"53035","68624","53297","2416"
"53027","16354","12104","726"
"53033","648230","259716","14086"
"27087","1436","843","64"
"27107","2129","1204","101"
"30061","845","1053","97"
"26083","610","756","44"
"27021","7276","8660","371"
"23003","19345","15898","751"
"26083","610","756","44"
"30045","397","801","38"
"16009","1407","2646","111"
"27057","4872","6558","208"
"53053","181824","141673","6023"
"53053","181824","141673","6023"
"30109","146","379","36"
"38007","114","375","10"
"38033","210","642","23"
"38043","422","752","54"
"38093","4056","5499","229"
"38015","15600","25443","729"
"53053","181824","141673","6023"
"53045","15050","12600","656"
"55000",,,
"38065","332","682","26"
"26061","7476","8101","395"
"53053","181824","141673","6023"
"53001","1552","3222","84"
"53075","9070","8104","415"
"38003","2741","2826","127"
"38017","37622","32566","1231"
"53053","181824","141673","6023"
"53045","15050","12600","656"
"26061","7476","8101","395"
"53053","181824","141673","6023"
"53067","75882","48366","2461"
"30079","211","503","21"
"53053","181824","141673","6023"
"27005","7687","8851","427"
"27027","16666","11978","615"
"16057","9195","7988","531"
"53077","33792","41946","1324"
"30059","298","624","44"
"55003","5818","2634","122"
"55003","5818","2634","122"
"55003","5818","2634","122"
"55003","5818","2634","122"
"55003","5818","2634","122"
"55003","5818","2634","122"
"27001","4595","4589","226"
"55003","5818","2634","122"
"26131","1966","1823","96"
"38089","3802","7024","244"
"55003","5818","2634","122"
"55003","5818","2634","122"
"55007","5972","3365","131"
"55007","5972","3365","131"
"38059","5079","7869","316"
"55007","5972","3365","131"
"55003","5818","2634","122"
"53027","16354","12104","726"
"26103","19635","12906","644"
"26013","1725","1846","73"
"55003","5818","2634","122"
"55003","5818","2634","122"
"55007","5972","3365","131"
"26103","19635","12906","644"
"55007","5972","3365","131"
"16035","1211","2569","126"
"26103","19635","12906","644"
"55003","5818","2634","122"
"55003","5818","2634","122"
"55003","5818","2634","122"
"55003","5818","2634","122"
"30017","2267","3047","138"
"30087","1919","1768","123"
"30039","601","1013","101"
"27159","2882","4128","159"
"27035","15859","18567","739"
"53049","6094","4555","288"
"53041","13624","20278","803"
"30007","365","756","28"
"26033","8184","8267","257"
"27137","77351","38742","2721"
"27017","11501","6549","399"
"26053","4757","3330","177"
"30065","636","1581","89"
"26095","1191","1490","59"
"55031","15830","7835","401"
"30037","124","343","24"
"30107","289","657","35"
"53021","7361","12037","298"
"55003","5818","2634","122"
"53005","26288","45345","1278"
"27111","13856","18077","754"
"38037","280","587","462"
"53023","385","968","20"
"55003","5818","2634","122"
"26003","2472","2188","90"
"30025","318","1064","50"
"16049","2017","5895","298"
"30081","8400","13002","681"
"38029","546","1230","61"
"38047","299","726","32"
"16069","7123","10357","343"
"38087","106","297","8"
"38045","868","1310","63"
"38041","406","893","49"
"27167","1550","1786","78"
"38073","1371","998","64"
"38077","3513","3900","150"
"53013","686","1499","43"
"26103","19635","12906","644"
"53071","10081","14182","464"
"26103","19635","12906","644"
"26103","19635","12906","644"
"55051","1914","1464","54"
"23025","13335","11867","556"
"23021","4430","4785","219"
"30043","2582","3538","220"
"26103","19635","12906","644"
"26003","2472","2188","90"
"26033","8184","8267","257"
"26033","8184","8267","257"
"26033","8184","8267","257"
"26003","2472","2188","90"
"26153","2184","2058","84"
"53049","6094","4555","288"
"26033","8184","8267","257"
"30111","32038","36483","1895"
"26003","2472","2188","90"
"26033","8184","8267","257"
"26003","2472","2188","90"
"30103","156","314","16"
"16061","479","1275","50"
"53003","4139","5451","190"
"26033","8184","8267","257"
"38085","1145","215","18"
"26071","3080","2947","135"
"27115","7084","6862","437"
"26033","8184","8267","257"
"23019","41514","37495","1358"
"53059","2817","2524","149"
"53015","24597","19554","1078"
"53069","1121","1105","68"
"27153","5277","6637","343"
"26033","8184","8267","257"
"27097","6547","9735","461"
"26033","8184","8267","257"
"26033","8184","8267","257"
"26033","8184","8267","257"
"55125","6491","7055","204"
"41007","10701","7192","655"
"38001","435","788","48"
"38081","1115","778","34"
"38051","579","916","37"
"38021","1044","1525","51"
"38011","478","1107","55"
"30023","3402","1502","170"
"41007","10701","7192","655"
"41007","10701","7192","655"
"41007","10701","7192","655"
"41007","10701","7192","655"
"41007","10701","7192","655"
"41007","10701","7192","655"
"26043","5995","7049","267"
"26097","3027","3268","101"
"27095","6072","7049","423"
"41007","10701","7192","655"
"41007","10701","7192","655"
"41007","10701","7192","655"
"26033","8184","8267","257"
"26033","8184","8267","257"
"41007","10701","7192","655"
"30097","541","1494","48"
"26033","8184","8267","257"
"26033","8184","8267","257"
"26033","8184","8267","257"
"26033","8184","8267","257"
"26033","8184","8267","257"
"26033","8184","8267","257"
"41007","10701","7192","655"
"53069","1121","1105","68"
"26033","8184","8267","257"
"30031","24205","22578","1372"
"30067","4173","4376","343"
"26033","8184","8267","257"
"30093","11676","4818","471"
"41007","10701","7192","655"
"41009","13390","10413","965"
"26033","8184","8267","257"
"41009","13390","10413","965"
"41007","10701","7192","655"
"26033","8184","8267","257"
"53015","24597","19554","1078"
"27065","3743","4479","277"
"55013","4337","4200","151"
"26033","8184","8267","257"
"26041","9974","8763","327"
"55113","4765","4199","121"
"55129","4693","4303","116"
"41009","13390","10413","965"
"30011","111","573","31"
"30095","1512","2991","164"
"26033","8184","8267","257"
"26033","8184","8267","257"
"27051","1850","1646","109"
"27041","9256","11241","421"
"26033","8184","8267","257"
"26033","8184","8267","257"
"26033","8184","8267","257"
"26033","8184","8267","257"
"26033","8184","8267","257"
"53015","24597","19554","1078"
"26033","8184","8267","257"
"26033","8184","8267","257"
"26033","8184","8267","257"
"55041","2673","1963","47"
"26033","8184","8267","257"
"26033","8184","8267","257"
"26033","8184","8267","257"
"26033","8184","8267","257"
"26033","8184","8267","257"
"26033","8184","8267","257"
"26033","8184","8267","257"
"53011","95356","84212","3196"
"26033","8184","8267","257"
